"MMSI","ais_imo","ais_shipname","ais_callsign","vessel_flag_best","vessel_class_best","geartype_best","trip_start","start_port_iso3","start_port_label","trip_start_confidence","trip_duration_days","num_encounters","num_loitering","num_fishing","npg_2026_phase_1","npg_2026_phase_2","vv_url","skylight_IMO","skylight_Vessel.Name","skylight_Flag","skylight_Vessel.Type","skylight_Category","skylight_Gear.Types","skylight_Length..m.","skylight_Skylight.Link","skylight_dark_rendezvous..Phase.1.","skylight_fishing_activity_history..Phase.1.","skylight_standard_rendezvous..Phase.1.","skylight_viirs..Phase.1.","skylight_Total..Phase.1.","skylight_dark_rendezvous..Phase.2.","skylight_fishing_activity_history..Phase.2.","skylight_standard_rendezvous..Phase.2.","skylight_viirs..Phase.2.","skylight_Total..Phase.2.","skylight_Grand.Total","skylight_Area.Presence","skylight_New.Vessel.since.2025..based.on.MMSI.","IHS_GrossTonnage","IHS_LengthOverallLOA.Meters.","IHS_YearOfBuild","IHS_ExName","IHS_PortofRegistry","CountryOfControlName","IHS_GroupBeneficialOwner","IHS_RegisteredOwner","IHS_RegisteredOwnerCountryOfRegistration","IHS_Operator","IHS_ShipManager","IHS_TechnicalManager","Non.Compliance.History..yes...sister.ship.","Type.of.Non.Compliance","Vessel.Non.Compliance.Description","SisterShip.s.Type.of.Non.Compliance","Sister.Ship.Non.Compliance.Description","SisterShipWithNonComplianceConcerns","Sources","phase1_2025","phase2_2025","phase1_2026"
"412209138",NA,"JULONGJIAYA6","BZYS 7","CHN","fishing","fishing",2026-05-14 12:58:58,"CHN","CHN-2289",4,17.46,0,2,2,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/602daf37c-cae5-5b97-db44-95c03de6e41a?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,859,50.7,2013,"","ZHOUSHAN, ZHEJIANG","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY","CHINA","ZHEJIANG JURONG OCEAN FISHERY","ZHEJIANG JURONG OCEAN FISHERY"," ","Sister Ship","","","Multiple","JU LONG JIA YA 28 has a history of AIS spoofing, transmission gaps in the Pacific Ocean. JU RONG YU 9 detained in The Gambia for irregularities in fishing log and failing to show proper markings on the vessel. Different names were presented on bow and stern. ","","https://b2p.theoutlawocean.com/vessels/ju-long-jia-ya-28
https://ejfoundation.org/resources/downloads/China-Report-2022-final.pdf",TRUE,FALSE,FALSE
"412322090","9993016","HAIDELI709","BZSE","CHN","fishing","squid_jigger",2026-05-28 23:52:39,"CHN","ZOUSHAN",3,3,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/4a0c2c5e5-570c-f7c0-7e54-a510f522e645?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412329637","8775027","LU RQNG YUAN YU 899","BBIR2","CHN","fishing","squid_jigger",2026-05-28 02:05:39,"CHN","SHIDAO",3,3.88,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1f0a00ce5-5d0c-f2e3-1784-afe73af87ca6?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412329644","8775780","JIN FENG 58","BBIV7","CHN","fishing","squid_jigger",2026-05-28 06:22:20,"CHN","ZHOUSHAN",3,3.71,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/dff81fcd1-1afe-12e0-db27-f2fed4bfba53?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412331127",NA,"SHUN ZE 729","BCFG4","CHN","fishing","squid_jigger",2026-05-28 08:07:54,"CHN","LIUHENG",3,3.63,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1f3b5befb-b90a-7d29-72c7-ae403ef52125?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412336962","9871971","HAN YI 58","BZYM6","CHN","fishing","squid_jigger",2026-05-27 15:10:15,"CHN","ZHOUSHAN",3,4.33,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/d6c964802-21b9-8b17-2af4-8cf3ff5f1f69?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412336963","9871971","HAN YI 68","BZYM7","CHN","fishing","squid_jigger",2026-05-28 13:59:24,"CHN","ZHOUSHAN",3,3.42,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f6f97e5d9-9d9b-1ec1-1b3b-ba7e58e60499?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412410006","8598998","HONG RUN 27","BZW5H","CHN","fishing","inconclusive",2026-05-19 01:24:37,"CHN","ZHOUSHAN",3,12.92,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3f3fd374b-bedd-45f0-f5b2-3f4f6e3e556b?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412410062",NA,"XING WANG 111","BZW8J","CHN","fishing","squid_jigger",2026-05-28 23:13:57,"CHN","ZHOUSHAN",3,3,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8e91aeaee-ed23-801f-c1df-eeff5783e678?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412420213",NA,"FENG CHENG 103","BZ8UG","CHN","fishing","squid_jigger",2026-05-28 09:49:27,"CHN","ZHOUSHAN",3,3.58,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/09dd879a6-6de5-da25-d892-7d7b6e8be774?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412420225",NA,"ZHOU HONG YUAN 9","BZ8UU","CHN","fishing","squid_jigger",2026-05-26 05:55:11,"CHN","ZOUSHAN",3,5.75,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6d83cff72-2a54-4746-ea45-658ca6658d31?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412420231",NA,"JIN HAI 858","BZ5VB","CHN","fishing","squid_jigger",2026-05-28 06:01:01,"CHN","DIASHAN",3,3.71,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3ab38daca-a533-3262-a1c7-824aa7879d9e?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412420248",NA,"PUYUAN817","BZ8VA","CHN","fishing","squid_jigger",2026-05-11 09:45:42,"CHN","ZHOUSHAN",3,20.58,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/010e50a1b-b3b7-289e-25ed-926583adba52?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412420252",NA,"NING TAI 35","BZ5UV","CHN","fishing","squid_jigger",2026-05-25 03:42:52,"CHN","ZOUSHAN",3,6.83,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7d487e3c4-407f-d593-9d3b-b491ce86aa14?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412420273",NA,"HAI YI 788","BZ4VB","CHN","fishing","squid_jigger",2026-05-14 09:56:35,"CHN","ZHOUSHAN",3,17.58,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/04eb83c73-3cdc-dac8-c6e0-909e1d37a325?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412420534",NA,"PU YUAN 805","BZ1VO","CHN","fishing","squid_jigger",2026-05-28 23:16:54,"CHN","ZOUSHAN",3,3,0,0,0,FALSE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/04e6f84e1-1b84-0575-5352-e1faf37e8aa4?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412420539",NA,"JINHAI711","BZ9VF","CHN","fishing","squid_jigger",2026-05-28 22:29:07,"CHN","ZOUSHAN",3,3.04,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8e31e2bf3-39c2-52b5-dcf9-1d52ba815171?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412420574",NA,"SHUN HANG 68","BZ9VH","CHN","fishing","squid_jigger",2026-05-27 12:42:55,"CHN","ZOUSHAN",3,4.46,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a51bc4230-08fb-b288-0ea4-15139fe6b3de?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412420611","8779085","NING TAI 58","BZ7VQ","CHN","fishing","squid_jigger",2026-05-28 22:36:16,"CHN","ZOUSHAN",3,3.04,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/289fc1a77-7967-54ed-7545-81449d318927?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412420644",NA,"ZHOU HONG YUAN 7","BZ5VM","CHN","fishing","squid_jigger",2026-05-28 03:12:42,"CHN","ZOUSHAN",3,3.83,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/aca6932bd-d8d1-5061-4855-2d06493f8ab9?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412420787",NA,"HANYI 16","BZ2VN","CHN","fishing","squid_jigger",2026-05-27 14:37:53,"CHN","LIUHENG",3,4.38,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/bbd9b437d-d3c5-06dd-8a88-1ef71b149077?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412420798",NA,"HUA YING 205","BZ5VR","CHN","fishing","squid_jigger",2026-05-28 23:20:55,"CHN","ZOUSHAN",3,3,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/9c056efe1-18ea-0cf8-6ef5-9a49c916ee47?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412420804",NA,"NING  TAI  17","BZ8VT","CHN","fishing","squid_jigger",2026-05-28 23:48:35,"CHN","ZHOUSHAN",3,3,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/9eab9024e-ea11-80d9-0845-dda271f3f77e?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
"412420807",NA,"PUYUAN868","BZ9V0","CHN","fishing","squid_jigger",2026-05-25 09:17:34,"CHN","LIUHENG",3,6.58,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/902691f7f-f94c-d8da-faf5-ca4e98a81d3c?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE
