"MMSI","ais_imo","ais_shipname","ais_callsign","vessel_flag_best","vessel_class_best","geartype_best","trip_start","start_port_iso3","start_port_label","trip_start_confidence","trip_duration_days","num_encounters","num_loitering","num_fishing","npg_2026_phase_1","npg_2026_phase_2","vv_url","skylight_IMO","skylight_Name","skylight_Skylight.Link","skylight_dark_rendezvous","skylight_eo_landsat_8_9","skylight_fishing_activity_history","skylight_standard_rendezvous","skylight_viirs","IHS_GrossTonnage","IHS_LengthOverallLOA.Meters.","IHS_YearOfBuild","IHS_ExName","IHS_PortofRegistry","CountryOfControlName","IHS_GroupBeneficialOwner","IHS_RegisteredOwner","IHS_RegisteredOwnerCountryOfRegistration","IHS_Operator","IHS_ShipManager","IHS_TechnicalManager","Non.Compliance.History..yes...sister.ship.","Type.of.Non.Compliance","Vessel.Non.Compliance.Description","SisterShip.s.Type.of.Non.Compliance","Sister.Ship.Non.Compliance.Description","SisterShipWithNonComplianceConcerns","Sources","phase1_2025","phase2_2025","inital_list_2026"
"412440247",NA,"FUYUANYU606","BZU4F","CHN","fishing","fishing",2026-04-16 05:09:43,"CHN","TAIZHOU",4,45.75,0,2,3,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6c0bc52ba-a0b7-097e-3404-ae8c4d5c6e65?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,857,52.07,2013,"","FUZHOU, FUJIAN","CHINA","FUJIAN WANTONG FISHERY CO LTD","FUJIAN WANTONG FISHERY CO LTD","CHINA","FUJIAN WANTONG FISHERY CO LTD","FUJIAN WANTONG FISHERY CO LTD"," ","","","","","","","",TRUE,FALSE,TRUE
"412440247",NA,"FUYUANYU606","BZU4F","CHN","fishing","fishing",2026-04-16 05:09:43,"CHN","TAIZHOU",4,45.75,0,2,3,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6c0bc52ba-a0b7-097e-3404-ae8c4d5c6e65?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,857,52.07,2013,"","FUZHOU, FUJIAN","CHINA","FUJIAN WANTONG FISHERY CO LTD","FUJIAN WANTONG FISHERY CO LTD","CHINA","FUJIAN WANTONG FISHERY CO LTD","FUJIAN WANTONG FISHERY CO LTD"," ","","","","","","","",TRUE,FALSE,TRUE
"412440248",NA,"FUYUANYU607","BZU5F","CHN","fishing","fishing",2026-04-16 06:50:23,"CHN","TAIZHOU",4,45.71,0,4,3,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/9cc54831d-df4e-ed0f-1e6c-2d8780fd8d8d?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,857,52.07,2013,"","FUZHOU, FUJIAN","CHINA","FUJIAN WANTONG FISHERY CO LTD","FUJIAN WANTONG FISHERY CO LTD","CHINA","FUJIAN WANTONG FISHERY CO LTD","FUJIAN WANTONG FISHERY CO LTD"," ","","","","","","","",TRUE,FALSE,TRUE
"412440249",NA,"FU YUAN YU 608","BZU6F","CHN","fishing","fishing",2026-04-16 08:37:19,"CHN","TAIZHOU",4,45.63,0,6,1,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/bcc78e717-7a8a-6ef6-7fc0-60bfeb354117?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,857,52.07,2013,"","FUZHOU, FUJIAN","CHINA","FUJIAN WANTONG FISHERY CO LTD","FUJIAN WANTONG FISHERY CO LTD","CHINA","FUJIAN WANTONG FISHERY CO LTD","FUJIAN WANTONG FISHERY CO LTD"," ","","","","","","","",TRUE,FALSE,TRUE
"412440251",NA,"FU YUAN YU609","BZU7F","CHN","fishing","fishing",2026-04-16 07:05:44,"CHN","TAIZHOU",4,45.67,0,12,4,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/25e7e8e70-0863-6af1-8498-664429b65a01?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,857,52.07,2013,"","FUZHOU, FUJIAN","CHINA","FUJIAN WANTONG FISHERY CO LTD","FUJIAN WANTONG FISHERY CO LTD","CHINA","FUJIAN WANTONG FISHERY CO LTD","FUJIAN WANTONG FISHERY CO LTD"," ","","","","","","","",TRUE,FALSE,TRUE
"412440253",NA,"FU YUAN YU LENG 16","BZU4K","CHN","carrier","carrier",2026-04-21 08:39:22,"CHN","TAIZHOU",4,40.63,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/455d75750-084b-f8ee-58e8-74046e5fa78f?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,1296,59.97,2013,"","FUZHOU, FUJIAN","CHINA, PEOPLE'S REPUBLIC OF","FUJIAN WANTONG FISHERY CO LTD","FUJIAN WANTONG FISHERY CO LTD","CHINA, PEOPLE'S REPUBLIC OF","FUJIAN WANTONG FISHERY CO LTD","FUJIAN WANTONG FISHERY CO LTD"," ","","","","","","","",FALSE,TRUE,TRUE
"412440359","8548620","FU YUAN YU 689","BVLK5","CHN","fishing","fishing",2026-03-31 08:07:32,"CHN","SHIDAO",4,61.63,0,23,57,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7072756f2-2ee0-9237-a7d0-847dad538a45?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,1137,59.27,2014,"","FUZHOU, FUJIAN","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI"," ","Both","IUU","One of several vessels that had an encounter with the carrier QIAN YUAN in the NPFC area in 2022, after QIAN YUAN had its international fishing license removed by Panama and had been deleted from the NPFC authorised vessel list, which resulted in NPFC IUU listing of the QIAN YUAN in 2023","IUU","Multiple vessels owned by this company had encounters with the carrier QIAN YUAN in the NPFC area in 2022, after QIAN YUAN had its international fishing license removed by Panama and had been deleted from the NPFC authorised vessel list, which resulted in NPFC IUU listing of the QIAN YUAN in 2024","[FU YUAN YU 687, FU YUAN YU 689, FU YUAN YU 688, FU YUAN YU 675, FU YUAN YU 686, FU YUAN YU 678]","JAC Intrep 002b",TRUE,FALSE,TRUE
"412440361","8548618","FU YUAN YU 688","BVLJ5","CHN","fishing","fishing",2026-03-31 08:16:22,"CHN","SHIDAO",4,61.63,0,25,64,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ca16a5ce7-7a83-62b2-2958-dbb621abee0a?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,1137,59.27,2014,"","FUZHOU, FUJIAN","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI"," ","Both","IUU","One of several vessels that had an encounter with the carrier QIAN YUAN in the NPFC area in 2022, after QIAN YUAN had its international fishing license removed by Panama and had been deleted from the NPFC authorised vessel list, which resulted in NPFC IUU listing of the QIAN YUAN in 2023","IUU","Multiple vessels owned by this company had encounters with the carrier QIAN YUAN in the NPFC area in 2022, after QIAN YUAN had its international fishing license removed by Panama and had been deleted from the NPFC authorised vessel list, which resulted in NPFC IUU listing of the QIAN YUAN in 2024","[FU YUAN YU 687, FU YUAN YU 689, FU YUAN YU 688, FU YUAN YU 675, FU YUAN YU 686, FU YUAN YU 678]","JAC Intrep 002b",TRUE,FALSE,TRUE
"412440362",NA,"FUYUANYU687",NA,"CHN","fishing","fishing",2026-05-18 08:39:24,"CHN","SHIDAO",3,13.63,0,1,1,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/08978816c-c58b-a66a-fc0f-0201fd7ba0ec?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,1137,59.27,2014,"","FUZHOU, FUJIAN","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI"," ","Both","IUU","One of several vessels that had an encounter with the carrier QIAN YUAN in the NPFC area in 2022, after QIAN YUAN had its international fishing license removed by Panama and had been deleted from the NPFC authorised vessel list, which resulted in NPFC IUU listing of the QIAN YUAN in 2023","IUU","Multiple vessels owned by this company had encounters with the carrier QIAN YUAN in the NPFC area in 2022, after QIAN YUAN had its international fishing license removed by Panama and had been deleted from the NPFC authorised vessel list, which resulted in NPFC IUU listing of the QIAN YUAN in 2024","[FU YUAN YU 687, FU YUAN YU 689, FU YUAN YU 688, FU YUAN YU 675, FU YUAN YU 686, FU YUAN YU 678]","JAC Intrep 002b",TRUE,FALSE,TRUE
"412440362",NA,"FU YUAN YU 687","BVLI5","CHN","fishing","fishing",2026-03-31 08:12:11,"CHN","SHIDAO",4,61.63,0,10,8,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/5c707be53-3863-6b85-b525-4880aa4a9bdc?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,1137,59.27,2014,"","FUZHOU, FUJIAN","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI"," ","Both","IUU","One of several vessels that had an encounter with the carrier QIAN YUAN in the NPFC area in 2022, after QIAN YUAN had its international fishing license removed by Panama and had been deleted from the NPFC authorised vessel list, which resulted in NPFC IUU listing of the QIAN YUAN in 2023","IUU","Multiple vessels owned by this company had encounters with the carrier QIAN YUAN in the NPFC area in 2022, after QIAN YUAN had its international fishing license removed by Panama and had been deleted from the NPFC authorised vessel list, which resulted in NPFC IUU listing of the QIAN YUAN in 2024","[FU YUAN YU 687, FU YUAN YU 689, FU YUAN YU 688, FU YUAN YU 675, FU YUAN YU 686, FU YUAN YU 678]","JAC Intrep 002b",TRUE,FALSE,TRUE
"412440363","8548591","FU YUAN YU 686","BVLH5","CHN","fishing","fishing",2026-03-18 07:41:06,"CHN","SHIDAO",3,74.67,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/191c69aa2-20f4-5d84-bbef-1c413b341324?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,1137,59.27,2014,"","FUZHOU, FUJIAN","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI"," ","Both","IUU","One of several vessels that had an encounter with the carrier QIAN YUAN in the NPFC area in 2022, after QIAN YUAN had its international fishing license removed by Panama and had been deleted from the NPFC authorised vessel list, which resulted in NPFC IUU listing of the QIAN YUAN in 2023","IUU","Multiple vessels owned by this company had encounters with the carrier QIAN YUAN in the NPFC area in 2022, after QIAN YUAN had its international fishing license removed by Panama and had been deleted from the NPFC authorised vessel list, which resulted in NPFC IUU listing of the QIAN YUAN in 2024","[FU YUAN YU 687, FU YUAN YU 689, FU YUAN YU 688, FU YUAN YU 675, FU YUAN YU 686, FU YUAN YU 678]","JAC Intrep 002b",TRUE,FALSE,TRUE
"412440365","8548589","FU YUAN YU 678","BVLA5","CHN","fishing","fishing",2026-05-02 20:36:07,"CHN","SHIDAO",4,29.13,0,9,3,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/8f252d63e-ed74-49b4-853a-9cb9d2aab458?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,1128,59.27,2014,"","FUZHOU, FUJIAN","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI"," ","Both","IUU","One of several vessels that had an encounter with the carrier QIAN YUAN in the NPFC area in 2022, after QIAN YUAN had its international fishing license removed by Panama and had been deleted from the NPFC authorised vessel list, which resulted in NPFC IUU listing of the QIAN YUAN in 2023","IUU","Multiple vessels owned by this company had encounters with the carrier QIAN YUAN in the NPFC area in 2022, after QIAN YUAN had its international fishing license removed by Panama and had been deleted from the NPFC authorised vessel list, which resulted in NPFC IUU listing of the QIAN YUAN in 2024","[FU YUAN YU 687, FU YUAN YU 689, FU YUAN YU 688, FU YUAN YU 675, FU YUAN YU 686, FU YUAN YU 678]","JAC Intrep 002b",TRUE,FALSE,TRUE
"412440366","8548577","FUYUANYU677","BVKZ5","CHN","fishing","fishing",2026-03-31 06:48:03,"CHN","SHIDAO",4,61.71,0,21,32,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/545cc2d7a-a5ca-3ab1-5478-233a979a7231?&start=2026-04-30&end=2026-06-02"")",8548577,"FUYUANYU677","https://app.skylight.earth/vesseldetails/412440366?startTime=2026-05-01T00%3A00%3A00Z&endTime=2026-06-01T00%3A00%3A00Z",1,0,0,0,0,1128,59.27,2014,"","FUZHOU, FUJIAN","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI"," ","Sister Ship","","","IUU","Multiple vessels owned by this company had encounters with the carrier QIAN YUAN in the NPFC area in 2022, after QIAN YUAN had its international fishing license removed by Panama and had been deleted from the NPFC authorised vessel list, which resulted in NPFC IUU listing of the QIAN YUAN in 2024","[FU YUAN YU 687, FU YUAN YU 689, FU YUAN YU 688, FU YUAN YU 675, FU YUAN YU 686, FU YUAN YU 678]","JAC Intrep 002b",TRUE,FALSE,TRUE
"412440367","8548565","FU YUAN YU 676","BVKY5","CHN","fishing","fishing",2026-04-03 03:59:33,"KOR","BUSAN",4,58.83,0,23,54,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7835cdf91-156a-c6c6-1fc7-dc42c0be56c1?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,1128,59.27,2014,"","FUZHOU, FUJIAN","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI"," ","Both","IUU","One of several vessels that had an encounter with the carrier QIAN YUAN in the NPFC area in 2022, after QIAN YUAN had its international fishing license removed by Panama and had been deleted from the NPFC authorised vessel list, which resulted in NPFC IUU listing of the QIAN YUAN in 2023","IUU","Multiple vessels owned by this company had encounters with the carrier QIAN YUAN in the NPFC area in 2022, after QIAN YUAN had its international fishing license removed by Panama and had been deleted from the NPFC authorised vessel list, which resulted in NPFC IUU listing of the QIAN YUAN in 2024","[FU YUAN YU 687, FU YUAN YU 689, FU YUAN YU 688, FU YUAN YU 675, FU YUAN YU 686, FU YUAN YU 678]","JAC Intrep 002b",TRUE,FALSE,TRUE
"412440368","8548553","FUYUANYU675","BVKX5","CHN","fishing","fishing",2026-03-31 06:48:46,"CHN","SHIDAO",4,61.71,0,24,60,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/c0445c69f-f037-d660-ffeb-fa65023d336f?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,1128,59.27,2014,"","FUZHOU, FUJIAN","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI"," ","Both","IUU","One of several vessels that had an encounter with the carrier QIAN YUAN in the NPFC area in 2022, after QIAN YUAN had its international fishing license removed by Panama and had been deleted from the NPFC authorised vessel list, which resulted in NPFC IUU listing of the QIAN YUAN in 2023","IUU","Multiple vessels owned by this company had encounters with the carrier QIAN YUAN in the NPFC area in 2022, after QIAN YUAN had its international fishing license removed by Panama and had been deleted from the NPFC authorised vessel list, which resulted in NPFC IUU listing of the QIAN YUAN in 2024","[FU YUAN YU 687, FU YUAN YU 689, FU YUAN YU 688, FU YUAN YU 675, FU YUAN YU 686, FU YUAN YU 678]","JAC Intrep 002b",TRUE,FALSE,TRUE
"412440369",NA,"FUYUANYU673","BVKW5","CHN","fishing","fishing",2026-03-31 08:09:15,"CHN","SHIDAO",4,61.63,0,20,6,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/fc4632026-631b-c7dc-c212-bfea8d40662c?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,1128,59.27,2014,"","FUZHOU, FUJIAN","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI"," ","Sister Ship","","","IUU","Multiple vessels owned by this company had encounters with the carrier QIAN YUAN in the NPFC area in 2022, after QIAN YUAN had its international fishing license removed by Panama and had been deleted from the NPFC authorised vessel list, which resulted in NPFC IUU listing of the QIAN YUAN in 2024","[FU YUAN YU 687, FU YUAN YU 689, FU YUAN YU 688, FU YUAN YU 675, FU YUAN YU 686, FU YUAN YU 678]","JAC Intrep 002b",TRUE,FALSE,TRUE
"412440371","8548539","FU YUAN YU 672","BVKV5","CHN","fishing","fishing",2026-04-03 02:53:06,"KOR","BUSAN",4,58.88,0,18,18,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/7cc5eaf60-0ce6-c1e2-96d9-f15b2bce40a1?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,1128,59.27,2014,"","FUZHOU, FUJIAN","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI","CHINA","FUJIAN GANGSHUN PELAGI","FUJIAN GANGSHUN PELAGI"," ","Sister Ship","","","IUU","Multiple vessels owned by this company had encounters with the carrier QIAN YUAN in the NPFC area in 2022, after QIAN YUAN had its international fishing license removed by Panama and had been deleted from the NPFC authorised vessel list, which resulted in NPFC IUU listing of the QIAN YUAN in 2024","[FU YUAN YU 687, FU YUAN YU 689, FU YUAN YU 688, FU YUAN YU 675, FU YUAN YU 686, FU YUAN YU 678]","JAC Intrep 002b",TRUE,FALSE,TRUE
"412440423",NA,"FUYUANYU079","BZU7V","CHN","fishing","fishing",2026-03-29 12:42:03,"KOR","BUSAN",4,63.46,0,17,29,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/dfbca3368-8926-3a4d-a28c-77d49a7c00f8?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,1012,62.6,2014,"","FUZHOU, FUJIAN","CHINA","JINXIN OCEAN FISHERY CO LTD","JINXIN OCEAN FISHERY CO LTD","CHINA","JINXIN OCEAN FISHERY CO LTD","JINXIN OCEAN FISHERY CO LTD"," ","Sister Ship","","","Other","FU YUAN YU 082 and FU YUAN YU 085 fished in Russian waters 2022 - 2023","https://b2p.theoutlawocean.com/vessels/fu-yuan-yu-082","https://b2p.theoutlawocean.com/vessels/fu-yuan-yu-082",TRUE,FALSE,TRUE
"412440477",NA,"FU YUAN YU 080","BZUN6","CHN","fishing","fishing",2026-03-24 07:28:42,"CHN","SHIDAO",4,68.67,0,15,13,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b01e010be-ed85-a414-3147-592544988e3d?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,1012,62.6,2014,"","FUZHOU, FUJIAN","CHINA","JINXIN OCEAN FISHERY CO LTD","JINXIN OCEAN FISHERY CO LTD","CHINA","JINXIN OCEAN FISHERY CO LTD","JINXIN OCEAN FISHERY CO LTD"," ","Sister Ship","","","Other","FU YUAN YU 082 and FU YUAN YU 085 fished in Russian waters 2022 - 2023","","https://b2p.theoutlawocean.com/vessels/fu-yuan-yu-082",TRUE,FALSE,TRUE
"412440477",NA,NA,"BZUN6","CHN","fishing","fishing",2026-03-20 08:30:36,"CHN","SHIDAO",3,72.63,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/b1c589e35-5514-9994-d8fb-abb0014dee6c?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,1012,62.6,2014,"","FUZHOU, FUJIAN","CHINA","JINXIN OCEAN FISHERY CO LTD","JINXIN OCEAN FISHERY CO LTD","CHINA","JINXIN OCEAN FISHERY CO LTD","JINXIN OCEAN FISHERY CO LTD"," ","Sister Ship","","","Other","FU YUAN YU 082 and FU YUAN YU 085 fished in Russian waters 2022 - 2023","","https://b2p.theoutlawocean.com/vessels/fu-yuan-yu-082",TRUE,FALSE,TRUE
"412440478",NA,"FU YUAN YU 081","BZUN7","CHN","fishing","fishing",2026-03-17 12:10:49,"CHN","XIAMEN",4,75.46,0,30,3,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/087d7a1c4-484c-8bbd-b3d3-8e3262a76ead?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,1010,62.6,2014,"","FUZHOU, FUJIAN","CHINA","JINXIN OCEAN FISHERY CO LTD","JINXIN OCEAN FISHERY CO LTD","CHINA","JINXIN OCEAN FISHERY CO LTD","JINXIN OCEAN FISHERY CO LTD"," ","Sister Ship","","","Other","FU YUAN YU 082 and FU YUAN YU 085 fished in Russian waters 2022 - 2023","https://b2p.theoutlawocean.com/vessels/fu-yuan-yu-082","https://b2p.theoutlawocean.com/vessels/fu-yuan-yu-082",TRUE,FALSE,TRUE
"412440479",NA,"FU YUAN YU 082","BZUN8","CHN","fishing","fishing",2026-03-26 04:53:12,"CHN","SHIDAO",4,66.79,0,0,6,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ca2fc47ff-f386-c7f3-68ca-b2a26fc33e6e?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,1012,62.6,2014,"","FUZHOU, FUJIAN","CHINA","JINXIN OCEAN FISHERY CO LTD","JINXIN OCEAN FISHERY CO LTD","CHINA","JINXIN OCEAN FISHERY CO LTD","JINXIN OCEAN FISHERY CO LTD"," ","Both","Other","Vessel fished in Russian waters 2022 - 2023","Other","FU YUAN YU 085 fished in Russian waters 2022 - 2023","","https://b2p.theoutlawocean.com/vessels/fu-yuan-yu-082",TRUE,FALSE,TRUE
"412440481",NA,"FUYUANYU085","BZUN9","CHN","fishing","fishing",2026-03-17 12:09:08,"CHN","XIAMEN",4,75.46,0,4,3,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/3a4f3f19a-ac08-9f7d-b36a-9a87f909d311?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,1012,62.6,2015,"","FUZHOU, FUJIAN","CHINA","JINXIN OCEAN FISHERY CO LTD","JINXIN OCEAN FISHERY CO LTD","CHINA","JINXIN OCEAN FISHERY CO LTD","JINXIN OCEAN FISHERY CO LTD"," ","Both","Other","Vessel fished in Russian waters 2022 - 2023","Other","FU YUAN YU 082 fished in Russian waters 2022 - 2023","","https://b2p.theoutlawocean.com/vessels/fu-yuan-yu-082",TRUE,FALSE,TRUE
"412440482",NA,"FUYUANYU660","BVGL8","CHN","fishing","fishing",2026-03-20 11:06:40,"CHN","ZHANGZHOU",4,72.5,0,7,16,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/47f692d02-20bb-3607-4104-99f666388b5c?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,1126,59.27,2014,"","FUZHOU, FUJIAN","CHINA","XIAMEN YONGXUN OCEANIC","XIAMEN YONGXUN OCEANIC","CHINA","XIAMEN YONGXUN OCEANIC","XIAMEN YONGXUN OCEANIC"," ","Sister Ship","","","Human Rights / Forced Labor","FU YUAN YU 661 brought dead crew member to shore 01-06-2019. C4ADS internal documents have crew member reports of forced labor and lack of appropriate pay","","C4ADS internal documents",TRUE,FALSE,TRUE
"412440482",NA,"FUYUANYU660","BVGL8","CHN","fishing","fishing",2026-03-20 11:06:40,"CHN","ZHANGZHOU",4,72.5,0,7,16,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/47f692d02-20bb-3607-4104-99f666388b5c?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,1126,59.27,2014,"","FUZHOU, FUJIAN","CHINA","XIAMEN YONGXUN OCEANIC","XIAMEN YONGXUN OCEANIC","CHINA","XIAMEN YONGXUN OCEANIC","XIAMEN YONGXUN OCEANIC"," ","Sister Ship","","","Human Rights / Forced Labor","FU YUAN YU 661 brought dead crew member to shore 01-06-2019. C4ADS internal documents have crew member reports of forced labor and lack of appropriate pay","","C4ADS internal documents",TRUE,FALSE,TRUE
"412440482",NA,"FUYUANYU660","BVGL8","CHN","fishing","fishing",2026-03-20 11:06:40,"CHN","ZHANGZHOU",4,72.5,0,7,16,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/47f692d02-20bb-3607-4104-99f666388b5c?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,1126,59.27,2014,"","FUZHOU, FUJIAN","CHINA","XIAMEN YONGXUN OCEANIC","XIAMEN YONGXUN OCEANIC","CHINA","XIAMEN YONGXUN OCEANIC","XIAMEN YONGXUN OCEANIC"," ","Sister Ship","","","Human Rights / Forced Labor","FU YUAN YU 661 brought dead crew member to shore 01-06-2019. C4ADS internal documents have crew member reports of forced labor and lack of appropriate pay","","C4ADS internal documents",TRUE,FALSE,TRUE
"412440483",NA,"FUYUANYU 661",NA,"CHN","fishing","fishing",2026-05-11 23:43:07,"CHN","QUANZHOU",4,20,0,0,0,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/66b7d47cc-c370-4d97-0367-1da7e0c7d66d?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,1126,59.27,2014,"","FUZHOU, FUJIAN","CHINA","XIAMEN YONGXUN OCEANIC","XIAMEN YONGXUN OCEANIC","CHINA","XIAMEN YONGXUN OCEANIC","XIAMEN YONGXUN OCEANIC"," ","Yes","Human Rights / Forced Labor","Dead crew member 01-06-2019. C4ADS internal documents have crew member reports of forced labor and lack of appropriate pay","","","","C4ADS internal source",TRUE,FALSE,TRUE
"412440483",NA,"FUYUANYU661","BVJI8","CHN","fishing","fishing",2026-03-20 11:12:38,"CHN","ZHANGZHOU",4,72.5,0,2,11,TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/2af949e0c-c0f3-69f4-7774-39aba8f94788?&start=2026-04-30&end=2026-06-02"")",NA,NA,NA,NA,NA,NA,NA,NA,1126,59.27,2014,"","FUZHOU, FUJIAN","CHINA","XIAMEN YONGXUN OCEANIC","XIAMEN YONGXUN OCEANIC","CHINA","XIAMEN YONGXUN OCEANIC","XIAMEN YONGXUN OCEANIC"," ","Yes","Human Rights / Forced Labor","Dead crew member 01-06-2019. C4ADS internal documents have crew member reports of forced labor and lack of appropriate pay","","","","C4ADS internal source",TRUE,FALSE,TRUE
