DFO_VOI,shipname,possible_shipname,MMSI,IMO,call_sign,possible_callsign,past_ship_name,Vessel_flag,Vessel_type,Geartype,gross_tonnage,year_of_build,length_overall_meters,highest_responsible_party,group_beneficial_owner,country_of_control_highest_responsible_party_,registered_owner,doc_company,ship_manager,technical_manager,pandi_club,port_of_registry,operator,imo_in_fleet_vessel_with_iuuderog,mmsi_in_fleet_vessel_with_iuuderog,in_fleet_vessel_with_iuuderog,risk_indicator,description,Allegation / Indicator,Source
FALSE,JU LONG JIA YA 3,[JU LONG JIA YA 3],412209135,,BZYS4,[BZYS4],,CHN,FISHING,FISHING,859,2013,50.7,ZHEJIANG JURONG OCEAN FISHERY,ZHEJIANG JURONG OCEAN FISHERY,"CHINA, PEOPLE'S REPUBLIC OF",ZHEJIANG JURONG OCEAN FISHERY,UNKNOWN,ZHEJIANG JURONG OCEAN FISHERY,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHEJIANG JURONG OCEAN FISHERY,,,,,,,
TRUE,JU LONG JIA YA 4,"[XINHAI 1259, JU LONG JIA YA 6, JU LONG JIA YA 4]",412209136,8540525,BZYS5,"[BZYS 7, BZYS5]",JU LONG JIA YA 4,CHN,FISHING,FISHING,859,2013,50.7,ZHOUSHAN XINHAI FISHERY CO LTD,,"CHINA, PEOPLE'S REPUBLIC OF",ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHOUSHAN XINHAI FISHERY CO LTD,,,,,,,
FALSE,JULONGJIAYA5,[JULONGJIAYA5],412209137,,BZYS 6,[BZYS 6],,CHN,FISHING,FISHING,859,2013,50.7,ZHEJIANG JURONG OCEAN FISHERY,ZHEJIANG JURONG OCEAN FISHERY,"CHINA, PEOPLE'S REPUBLIC OF",ZHEJIANG JURONG OCEAN FISHERY,UNKNOWN,ZHEJIANG JURONG OCEAN FISHERY,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHEJIANG JURONG OCEAN FISHERY,,,,,,,
FALSE,JU LONG JIA YA 6,[JU LONG JIA YA 6],412209138,,BZYS 7,[BZYS 7],,CHN,FISHING,INCONCLUSIVE,859,2013,50.7,ZHEJIANG JURONG OCEAN FISHERY,ZHEJIANG JURONG OCEAN FISHERY,"CHINA, PEOPLE'S REPUBLIC OF",ZHEJIANG JURONG OCEAN FISHERY,UNKNOWN,ZHEJIANG JURONG OCEAN FISHERY,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHEJIANG JURONG OCEAN FISHERY,,,,,,,
TRUE,XIN HAI 1209,[XIN HAI 1209],412209139,,BZYS8,[BZYS8],JU LONG JIA YA 7,CHN,FISHING,FISHING,859,2013,50.7,ZHOUSHAN XINHAI FISHERY CO LTD,,"CHINA, PEOPLE'S REPUBLIC OF",ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHOUSHAN XINHAI FISHERY CO LTD,,,,,,,
TRUE,XIN HAI 1219,"[XIN HAI 1219, JU LONG JIA YA 9]",412209142,,BZYT2,"[BZYT, BZYT2]",JU LONG JIA YA 9,CHN,FISHING,FISHING,859,2013,50.7,ZHOUSHAN XINHAI FISHERY CO LTD,,"CHINA, PEOPLE'S REPUBLIC OF",ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,ZHOUSHAN XINHAI FISHERY CO LTD,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHOUSHAN XINHAI FISHERY CO LTD,,,,THIS VESSEL HAS IUU/DEROG REPORTS,"The Ju Long Jia Ya 9 fished in Russian waters for 19 hours between July 2022 and February 2023. Executive Order 14068, signed by President Joe Biden on March 11, 2022, prohibits the U.S. import of fish, seafood, or derived products of Russian Federation origin.",US SEAFOOD ISSUE,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/ju-long-jia-ya-9/
FALSE,JU LONG JIA YA 10,[JU LONG JIA YA 10],412209143,8540264,BZYT3,[BZYT3],,CHN,FISHING,FISHING,859,2013,50.7,ZHEJIANG JURONG OCEAN FISHERY,ZHEJIANG JURONG OCEAN FISHERY,"CHINA, PEOPLE'S REPUBLIC OF",ZHEJIANG JURONG OCEAN FISHERY,UNKNOWN,ZHEJIANG JURONG OCEAN FISHERY,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHEJIANG JURONG OCEAN FISHERY,,,,,,,
FALSE,LONG TENG,[LONG TENG],412270002,8607373,BZZQ6,[BZZQ6],PORECHYE,CHN,FISHING,TRAWLERS,7765,1990,120.47,CHINA NATIONAL FISHERIES CORP,CHINA NATIONAL FISHERIES CORP,"CHINA, PEOPLE'S REPUBLIC OF",CHINA NATIONAL FISHERIES CORP,UNKNOWN,CHINA NATIONAL FISHERIES CORP,CHINA NATIONAL FISHERIES CORP,UNKNOWN,,CHINA NATIONAL FISHERIES CORP,9105281,413270430,JIN SHENG NO 2,VESSEL IN OWNERSHIP FLEET HAS IUU/DEROG REPORTS,involved in evasion of boarding incedent and allegedy transshiped crew accused of being involved in human rights abuses,HUMAN RIGHTS ABUSE,https://fish-i-africa.org/crew-exploitation-uncovered-in-western-indian-ocean-fishing-fleet/
FALSE,LU PENG YUANYU017,[LU PENG YUANYU017],412329634,8775613,BZSD2,[BZSD2],LU PENG YUAN YU 017,CHN,FISHING,SQUID_JIGGER,1408,2013,69.9,ZHOUSHAN SHUNHANG OCEAN,,"CHINA, PEOPLE'S REPUBLIC OF",ZHOUSHAN SHUNHANG OCEAN,UNKNOWN,ZHOUSHAN SHUNHANG OCEAN,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHOUSHAN SHUNHANG OCEAN,8776021,412420909,SHUN HANG 8,THIS VESSEL HAS IUU/DEROG REPORTS,history of large transmission gaps,DARK ACTIVITY,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/lu-peng-yuan-yu-017/
FALSE,LU RONG YUAN YU 899,"[LU RONG YUAN YU 899, LURONGYUANYU 899]",412329637,,,[BBIR2],,CHN,FISHING,SQUID_JIGGER,,,,UNKNOWN,,,,,,,,,,,,,,,,
FALSE,LU RONG YUAN YU 998,[LU RONG YUAN YU 998],412329638,8775326,BBIR1,[BBIR1],,CHN,FISHING,SQUID_JIGGER,1593,2013,0,RONGCHENG LIANHAI FISHERY CO,RONGCHENG LIANHAI FISHERY CO,"CHINA, PEOPLE'S REPUBLIC OF",RONGCHENG LIANHAI FISHERY CO,UNKNOWN,RONGCHENG LIANHAI FISHERY CO,UNKNOWN,UNKNOWN,"SHIDAO, SHANDONG",RONGCHENG LIANHAI FISHERY CO,8775041,,LU RONG YUAN YU 895,THIS VESSEL HAS IUU/DEROG REPORTS,history of large transmission gaps,DARK ACTIVITY,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/lu-rong-yuan-yu-998/
FALSE,LURONGYUANYUYUN158,[LURONGYUANYUYUN158],412329639,9736339,BBZS3,[BBZS3],,CHN,CARRIER,CARRIER,2244,2013,85.99,SHANDONG LANYUE OCEAN FISHERY,,"CHINA, PEOPLE'S REPUBLIC OF",SHANDONG LANYUE OCEAN FISHERY,UNKNOWN,SHANDONG LANYUE OCEAN FISHERY,UNKNOWN,UNKNOWN,"SHIDAO, SHANDONG",SHANDONG LANYUE OCEAN FISHERY,8799372,,,VESSEL IN OWNERSHIP FLEET HAS IUU/DEROG REPORTS,,HUMAN RIGHTS ABUSE CONCERNS,https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
FALSE,LURONGYUANYUYUN168,[LURONGYUANYUYUN168],412329641,8684101,BBZS4,[BBZS4],,CHN,CARRIER,CARRIER,2244,2014,85.99,SHANDONG LANYUE OCEAN FISHERY,,"CHINA, PEOPLE'S REPUBLIC OF",SHANDONG LANYUE OCEAN FISHERY,UNKNOWN,SHANDONG LANYUE OCEAN FISHERY,UNKNOWN,UNKNOWN,"SHIDAO, SHANDONG",SHANDONG LANYUE OCEAN FISHERY,8799372,,,VESSEL IN OWNERSHIP FLEET HAS IUU/DEROG REPORTS,,HUMAN RIGHTS ABUSE CONCERNS,https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
FALSE,LUPENGYUANYU027,"[LU PENG YUAN YU 027, LUPENGYUANYU027]",412329654,8775649,BZSD5,[BZSD5],,CHN,FISHING,SQUID_JIGGER,,,,UNKNOWN,,,,,,,,,,7903562,,JING LU YUEN 005,THIS VESSEL HAS IUU/DEROG REPORTS,"Crew from the Lu Peng Yuan Yu 027 reported physical and verbal abuse, insufficient food, deduction, did not pay guarantee money. Transmission",HUMAN RIGHTS ABUSE / DARK ACTIVITY,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/lu-peng-yuan-yu-027/
TRUE,LU HUANG YUAN YU 105,[LU HUANG YUAN YU 105],412329655,9717448,BZTE2,[BZTE2],,CHN,FISHING,SQUID_JIGGER,1655,2013,0,QINGDAO ZHONGTAI OCEANIC,QINGDAO ZHONGTAI OCEANIC,"CHINA, PEOPLE'S REPUBLIC OF",QINGDAO ZHONGTAI OCEANIC,UNKNOWN,QINGDAO ZHONGTAI OCEANIC,UNKNOWN,UNKNOWN,"HUANGHUA, HEBEI",QINGDAO ZHONGTAI OCEANIC,,,,THIS VESSEL HAS IUU/DEROG REPORTS,history of large transmission gaps,DARK ACTIVITY,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/lu-huang-yuan-yu-105/
TRUE,LU HUANG YUAN YU 106,[LU HUANG YUAN YU 106],412329656,9717450,BZTE3,[BZTE3],,CHN,FISHING,SQUID_JIGGER,1655,2013,0,QINGDAO ZHONGTAI OCEANIC,QINGDAO ZHONGTAI OCEANIC,"CHINA, PEOPLE'S REPUBLIC OF",QINGDAO ZHONGTAI OCEANIC,UNKNOWN,QINGDAO ZHONGTAI OCEANIC,UNKNOWN,UNKNOWN,"HUANGHUA, HEBEI",QINGDAO ZHONGTAI OCEANIC,,,,THIS VESSEL HAS IUU/DEROG REPORTS,history of large transmission gaps,DARK ACTIVITY,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/lu-huang-yuan-yu-106/
TRUE,LU HUANG YUAN YU 107,[LU HUANG YUAN YU 107],412329657,9717462,BZTE4,[BZTE4],,CHN,FISHING,SQUID_JIGGER,1655,2013,0,QINGDAO ZHONGTAI OCEANIC,QINGDAO ZHONGTAI OCEANIC,"CHINA, PEOPLE'S REPUBLIC OF",QINGDAO ZHONGTAI OCEANIC,UNKNOWN,QINGDAO ZHONGTAI OCEANIC,UNKNOWN,UNKNOWN,"HUANGHUA, HEBEI",QINGDAO ZHONGTAI OCEANIC,,,,THIS VESSEL HAS IUU/DEROG REPORTS,history of large transmission gaps,DARK ACTIVITY,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/lu-huang-yuan-yu-107/
TRUE,LU HUANG YUAN YU 108,[LU HUANG YUAN YU 108],412329658,9717474,BZTE5,[BZTE5],,CHN,FISHING,SQUID_JIGGER,1655,2013,0,QINGDAO ZHONGTAI OCEANIC,QINGDAO ZHONGTAI OCEANIC,"CHINA, PEOPLE'S REPUBLIC OF",QINGDAO ZHONGTAI OCEANIC,UNKNOWN,QINGDAO ZHONGTAI OCEANIC,UNKNOWN,UNKNOWN,"HUANGHUA, HEBEI",QINGDAO ZHONGTAI OCEANIC,,,,THIS VESSEL HAS IUU/DEROG REPORTS,history of large transmission gaps,DARK ACTIVITY,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/lu-huang-yuan-yu-108/
FALSE,LUPENGYUANYU097,[LUPENGYUANYU097],412330931,8775728,BZZY9,[BZZY9],,CHN,FISHING,SQUID_JIGGER,1366,2016,77,PENGLAI JING LU FISHERIES CO,,"CHINA, PEOPLE'S REPUBLIC OF",PENGLAI JING LU FISHERIES CO,UNKNOWN,PENGLAI JING LU FISHERIES CO,UNKNOWN,UNKNOWN,"PENGLAI, SHANDONG",PENGLAI JING LU FISHERIES CO,7903562,,JING LU YUEN 005,THIS VESSEL HAS IUU/DEROG REPORTS,history of large transmission gaps,DARK ACTIVITY,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/lu-peng-yuan-yu-097/
FALSE,LU PENG YUAN YU 029,[LU PENG YUAN YU 029],412331041,8775663,BZSD7,[BZSD7],,CHN,FISHING,SQUID_JIGGER,1408,2013,69.9,PENGLAI JING LU FISHERIES CO,,"CHINA, PEOPLE'S REPUBLIC OF",PENGLAI JING LU FISHERIES CO,UNKNOWN,PENGLAI JING LU FISHERIES CO,UNKNOWN,UNKNOWN,"PENGLAI, SHANDONG",PENGLAI JING LU FISHERIES CO,7903562,,JING LU YUEN 005,THIS VESSEL HAS IUU/DEROG REPORTS,history of large transmission gaps,DARK ACTIVITY,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/lu-peng-yuan-yu-029/
FALSE,LURONGYUANYUYUN 001,[LURONGYUANYUYUN 001],412331049,8786478,BZSU,[BZSU],,CHN,CARRIER,CARRIER,2217,2013,0,RONGCHENG AOYANG FISHERY,RONGCHENG AOYANG FISHERY,"CHINA, PEOPLE'S REPUBLIC OF",RONGCHENG AOYANG FISHERY,UNKNOWN,RONGCHENG AOYANG FISHERY,UNKNOWN,UNKNOWN,"SHIDAO, SHANDONG",RONGCHENG AOYANG FISHERY,8532085; 9831385,412336868,LU RONG YUAN YU 739,VESSEL IN OWNERSHIP FLEET HAS IUU/DEROG REPORTS,"The Lu Rong Yuan Yu 739 disembarked an injured deckhand in Montevideo, 02-01-2021.The Lu Rong Yuan Yu 739 fished in North Korean waters in 2017. The procurement of seafood from North Korea, joint ventures between North Korea and other countries without UN approval, and the sale or transfer of fishing rights by North Korea was banned by the UN Security Council in 2017.",HUMAN RIGHTS ABUSE / FISHING NORTH KOREAN WATERS,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/lu-rong-yuan-yu-739/
TRUE,LU HUANG YUAN YU 115,[LU HUANG YUAN YU 115],412331054,9752929,BZTE6,[BZTE6],,CHN,FISHING,SQUID_JIGGER,1655,2014,70.87,QINGDAO ZHONGTAI OCEANIC,QINGDAO ZHONGTAI OCEANIC,"CHINA, PEOPLE'S REPUBLIC OF",QINGDAO ZHONGTAI OCEANIC,UNKNOWN,QINGDAO ZHONGTAI OCEANIC,UNKNOWN,UNKNOWN,"HUANGDAO, SHANDONG",QINGDAO ZHONGTAI OCEANIC,,,,THIS VESSEL HAS IUU/DEROG REPORTS,history of large transmission gaps,DARK ACTIVITY,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/lu-huang-yuan-yu-115/
FALSE,LU PENG YUAN YU 078,[LU PENG YUAN YU 078],412331059,8775675,BZSD9,[BZSD9],,CHN,FISHING,SQUID_JIGGER,1408,2014,69.9,PENGLAI JING LU FISHERIES CO,,"CHINA, PEOPLE'S REPUBLIC OF",PENGLAI JING LU FISHERIES CO,UNKNOWN,PENGLAI JING LU FISHERIES CO,UNKNOWN,UNKNOWN,"PENGLAI, SHANDONG",PENGLAI JING LU FISHERIES CO,7903562,,JING LU YUEN 005,THIS VESSEL HAS IUU/DEROG REPORTS,history of large transmission gaps,DARK ACTIVITY,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/lu-peng-yuan-yu-078/
TRUE,LU HUANG YUAN YU 117,[LU HUANG YUAN YU 117],412331087,8685478,BZTE8,[BZTE8],,CHN,FISHING,SQUID_JIGGER,1655,2014,0,QINGDAO ZHONGTAI OCEANIC,QINGDAO ZHONGTAI OCEANIC,"CHINA, PEOPLE'S REPUBLIC OF",QINGDAO ZHONGTAI OCEANIC,UNKNOWN,QINGDAO ZHONGTAI OCEANIC,UNKNOWN,UNKNOWN,"HUANGDAO, SHANDONG",QINGDAO ZHONGTAI OCEANIC,,,,THIS VESSEL HAS IUU/DEROG REPORTS,"In 2020, Indonesian authorities arrested and charged six executives from local recruitment agencies linked to the forced labor endured; one crew member death, history of large transmission gaps",HUMAN RIGHTS ABUSE / DARK ACTIVITY,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/lu-huang-yuan-yu-117/
FALSE,YONG FA 9,"[LU PENG YUANYU 087, YONG FA 9]",412331146,8775699,BZSG2,[BZSG2],LU PENG YUAN YU 087,CHN,FISHING,SQUID_JIGGER,1408,2015,69.9,NINGBO YONGFA OCEAN FISHERIES,NINGBO YONGFA OCEAN FISHERIES,"CHINA, PEOPLE'S REPUBLIC OF",NINGBO YONGFA OCEAN FISHERIES,UNKNOWN,NINGBO YONGFA OCEAN FISHERIES,NINGBO YONGFA OCEAN FISHERIES,UNKNOWN,"NINGBO, ZHEJIANG",NINGBO YONGFA OCEAN FISHERIES,9807451,412439762,YONG FA 7,THIS VESSEL HAS IUU/DEROG REPORTS,history of large transmission gaps,DARK ACTIVITY,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/lu-peng-yuan-yu-087/
FALSE,LU PENG YUAN YU 089,[LU PENG YUAN YU 089],412331148,8775716,BZSG4,[BZSG4],,CHN,FISHING,SQUID_JIGGER,1408,2015,69.9,PENGLAI JING LU FISHERIES CO,,"CHINA, PEOPLE'S REPUBLIC OF",PENGLAI JING LU FISHERIES CO,UNKNOWN,PENGLAI JING LU FISHERIES CO,UNKNOWN,UNKNOWN,"PENGLAI, SHANDONG",PENGLAI JING LU FISHERIES CO,7903562,,JING LU YUEN 005,THIS VESSEL HAS IUU/DEROG REPORTS,history of large transmission gaps,DARK ACTIVITY,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/lu-peng-yuan-yu-089/
FALSE,LURONGYUANYUYUN998,[LURONGYUANYUYUN998],412331167,,BCFD5,[BCFD5],,CHN,CARRIER,CARRIER,2225,2015,90.55,RONGCHENG AOYANG FISHERY,RONGCHENG AOYANG FISHERY,"CHINA, PEOPLE'S REPUBLIC OF",RONGCHENG AOYANG FISHERY,UNKNOWN,RONGCHENG AOYANG FISHERY,UNKNOWN,UNKNOWN,"SHIDAO, SHANDONG",RONGCHENG AOYANG FISHERY,8532085; 9831385,412336868,LU RONG YUAN YU 739,VESSEL IN OWNERSHIP FLEET HAS IUU/DEROG REPORTS,"The Lu Rong Yuan Yu 739 disembarked an injured deckhand in Montevideo, 02-01-2021. The Lu Rong Yuan Yu 739 fished in North Korean waters in 2017. The procurement of seafood from North Korea, joint ventures between North Korea and other countries without UN approval, and the sale or transfer of fishing rights by North Korea was banned by the UN Security Council in 2017.",HUMAN RIGHTS ABUSE / FISHING NORTH KOREAN WATERS,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/lu-rong-yuan-yu-739/
FALSE,LURONGYUANYUYUN009,[LURONGYUANYUYUN009],412331486,8786466,BCFI9,[BCFI9],,CHN,CARRIER,CARRIER,3830,2009,0,RONGCHENG HENGLONG FISHERIES,RONGCHENG HENGLONG FISHERIES,"CHINA, PEOPLE'S REPUBLIC OF",RONGCHENG CHISHAN OCEAN FISH,UNKNOWN,RONGCHENG CHISHAN OCEAN FISH,RONGCHENG CHISHAN OCEAN FISH,UNKNOWN,"SHIDAO, SHANDONG",RONGCHENG CHISHAN OCEAN FISH,8775845,412331073,LU RONG YUAN YU 809,VESSEL IN OWNERSHIP FLEET HAS IUU/DEROG REPORTS,"The Lu Rong Yuan Yu 809 fished in North Korean waters in 2019. The procurement of seafood from North Korea, joint ventures between North Korea and other countries without UN approval, and the sale or transfer of fishing rights by North Korea was banned by the UN Security Council in 2017.",FISHING NORTH KOREAN WATERS,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/lu-rong-yuan-yu-809/
FALSE,MING DA,[MING DA],412401580,,,[],,CHN,FISHING,SQUID_JIGGER,,,,UNKNOWN,,,,,,,,,,,,,THIS VESSEL HAS IUU/DEROG REPORTS,"One of the fishing vessels that was detected in an encounter with the bunker vessel GLORIWAVE (now RIWA) during its period of unauthorised operations in the NPFC area, as a result of which GLORIWAVE was IUU listed by NPFC",DARK ACTIVITY,JAC Internal Document
FALSE,PU YUAN 886,[PU YUAN 886],412420465,,,[BZ3VP],,CHN,FISHING,SQUID_JIGGER,496,2011,0,ZHOUSHAN NINGTAI OCEAN FISH,ZHOUSHAN NINGTAI OCEAN FISH,"CHINA, PEOPLE'S REPUBLIC OF",ZHOUSHAN NINGTAI OCEAN FISH,UNKNOWN,ZHOUSHAN NINGTAI OCEAN FISH,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHOUSHAN NINGTAI OCEAN FISH,8779023,412420646,TIAN YUE 1,THIS VESSEL HAS IUU/DEROG REPORTS,history of large transmission gaps,DARK ACTIVITY,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/pu-yuan-886/
FALSE,PUYUAN 868,"[PUYUAN868, PUYUAN 868]",412420807,,,[BZ9V0],,CHN,FISHING,SQUID_JIGGER,495,2012,0,ZHEJIANG ZHOUSHAN SHUNZE,ZHEJIANG ZHOUSHAN SHUNZE,"CHINA, PEOPLE'S REPUBLIC OF",ZHEJIANG ZHOUSHAN SHUNZE,UNKNOWN,ZHEJIANG ZHOUSHAN SHUNZE,UNKNOWN,UNKNOWN,"ZHOUSHAN, ZHEJIANG",ZHEJIANG ZHOUSHAN SHUNZE,,412421183,SHUN ZE 677,THIS VESSEL HAS IUU/DEROG REPORTS,history of large transmission gaps,DARK ACTIVITY,https://www.theoutlawocean.com/investigations/china-the-superpower-of-seafood/bait-to-plate/vessels/pu-yuan-868/
