Vessel_Name,MMSI,IMO,gfw_flag,CallSign,IHS_GrossTonnage,IHS_LengthOverallLOA(Meters),IHS_YearOfBuild,IHS_ExName,geartype_best,IHS_PortofRegistry,CountryOfControlName,IHS_GroupBeneficialOwner,IHS_RegisteredOwner,IHS_RegisteredOwnerCountryOfRegistration,IHS_Operator,IHS_ShipManager,IHS_TechnicalManager,Non-Compliance History (yes / sister ship),Type of Non-Compliance,Vessel Non-Compliance Description,SisterShip(s)Type of Non-Compliance,Sister Ship Non-Compliance Description,SisterShipWithNonComplianceConcerns,Sources,poor_id,trip_start,trip_duration_days,start_port_iso3,start_port_label,in_transit_aoi_p1,in_transit_aoi_p2,in_primary_area_p1,in_primary_area_p2,num_encounters,num_loitering,num_fishing,vv_url,skylight_url,transit_p1_dark_rendezvous,transit_p1_fishing_activity_history,transit_p1_standard_rendezvous,transit_p1_viirs,transit_p1_sar_sentinel1,transit_p1_eo_sentinel2,transit_p1_eo_landsat_8_9,transit_p2_dark_rendezvous,transit_p2_fishing_activity_history,transit_p2_standard_rendezvous,transit_p2_viirs,transit_p2_sar_sentinel1,transit_p2_eo_sentinel2,transit_p2_eo_landsat_8_9,primary_area_p1_dark_rendezvous,primary_area_p1_fishing_activity_history,primary_area_p1_standard_rendezvous,primary_area_p1_viirs,primary_area_p1_sar_sentinel1,primary_area_p1_eo_sentinel2,primary_area_p1_eo_landsat_8_9,primary_area_p2_dark_rendezvous,primary_area_p2_fishing_activity_history,primary_area_p2_standard_rendezvous,primary_area_p2_viirs,primary_area_p2_sar_sentinel1,primary_area_p2_eo_sentinel2,primary_area_p2_eo_landsat_8_9,New_vessel
JIN FU YI,416199500,8530673,TWN,BJ4929,78,26.1,2006,MING MAAN SHIANG NO. 38,drifting_longlines,KAOHSIUNG,TAIWAN,CHING TK,CHING TK,TAIWAN,CHING TK,CHING TK, ,,,,,,,,FALSE,2025-04-07T05:39:00Z,56.75,TWN,DONGGANG,FALSE,TRUE,TRUE,TRUE,0,57,51,https://globalfishingwatch.org/map/vessel/056057882-2ea9-a7a7-bd23-584e199fe45b?&start=2025-04-05&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/416199500,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,1,12,0,0,0,0,0,1,24,0,0,0,0,FALSE
CHOKYUMARU NO.23,431426000,8974611,JPN,JH3483,119,39,2002,,pole_and_line,"OWASE, MIE",JAPAN, ,CHOKYU MARU,,CHOKYU MARU,CHOKYU MARU, ,,,,,,,,FALSE,2025-05-28T21:20:00Z,5.08,JPN,KESENNUMA,FALSE,TRUE,TRUE,TRUE,0,0,0,https://globalfishingwatch.org/map/vessel/61595429f-f498-634b-a297-7a0332779449?&start=2025-05-26&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/431426000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
ZHOU YU 903,412420978,8783402,CHN,BZV6W,267,43.5,2015,,pole_and_line,"ZHOUSHAN, ZHEJIANG","CHINA, PEOPLE'S REPUBLIC OF",CNFC ZHOUSHAN OVERSEAS,CNFC ZHOUSHAN OVERSEAS,"CHINA, PEOPLE'S REPUBLIC OF",CNFC ZHOUSHAN OVERSEAS,CNFC ZHOUSHAN OVERSEAS, ,Sister Ship,,,Multiple,ZHOU YU 929 refused to allow an at sea inspection by a US Coast Guard vessel in the SPRFMO convetion area close to the Galapagos islands in 2022. A motion was made to add this vessel and another China flagged vessel to the SPRFMO IUU list but this was blocked by China. Multiple vessels in fleet have a history of AIS spoofing and transmission gaps. Reports of forced labor on the ZHOU YU 901 and 905. ,"[ZHOU YU 906, ZHOU YU 972, ZHOU YU 921, ZHOU YU 905, ZHOU YU 908, ZHOU YU 903, MING TAI, ZHOU YU 909, ZHOU YU 922, ZHOU YU 929, ZHOU YU 8, FENG HUI 9, ZHOU YU 902, ZHOU YU 901, MING HUA, ZHOU YU 916, MING WANG, ZHOU YU 970]","https://www.seafoodsource.com/news/premium/environment-sustainability/china-blocks-sprfmo-from-placing-two-of-its-vessels-on-iuu-blacklist 
https://www.undercurrentnews.com/2024/07/05/nearly-70-chinese-vessels-have-entered-peruvian-waters-in-2024/#comments
https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
https://b2p.theoutlawocean.com/vessels/zhou-yu-921
",FALSE,2025-04-14T00:57:00Z,49.96,CHN,ZHOUSHAN,TRUE,TRUE,TRUE,TRUE,0,31,85,https://globalfishingwatch.org/map/vessel/2f1c47926-6bbd-4a2e-95df-03304c060e87?&start=2025-04-12&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/412420978,7,24,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
ZHOU YU 904,412420982,8783414,CHN,BZV7W,267,43.5,2015,,pole_and_line,"ZHOUSHAN, ZHEJIANG","CHINA, PEOPLE'S REPUBLIC OF",CNFC ZHOUSHAN OVERSEAS,CNFC ZHOUSHAN OVERSEAS,"CHINA, PEOPLE'S REPUBLIC OF",CNFC ZHOUSHAN OVERSEAS,CNFC ZHOUSHAN OVERSEAS, ,Sister Ship,,,Multiple,ZHOU YU 929 refused to allow an at sea inspection by a US Coast Guard vessel in the SPRFMO convetion area close to the Galapagos islands in 2022. A motion was made to add this vessel and another China flagged vessel to the SPRFMO IUU list but this was blocked by China. Multiple vessels in fleet have a history of AIS spoofing and transmission gaps. Reports of forced labor on the ZHOU YU 901 and 905. ,"[ZHOU YU 906, ZHOU YU 972, ZHOU YU 921, ZHOU YU 905, ZHOU YU 908, ZHOU YU 903, MING TAI, ZHOU YU 909, ZHOU YU 922, ZHOU YU 929, ZHOU YU 8, FENG HUI 9, ZHOU YU 902, ZHOU YU 901, MING HUA, ZHOU YU 916, MING WANG, ZHOU YU 970]","https://www.seafoodsource.com/news/premium/environment-sustainability/china-blocks-sprfmo-from-placing-two-of-its-vessels-on-iuu-blacklist 
https://www.undercurrentnews.com/2024/07/05/nearly-70-chinese-vessels-have-entered-peruvian-waters-in-2024/#comments
https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
https://b2p.theoutlawocean.com/vessels/zhou-yu-921
",FALSE,2025-04-14T01:11:00Z,49.92,CHN,ZHOUSHAN,TRUE,TRUE,TRUE,TRUE,0,33,100,https://globalfishingwatch.org/map/vessel/edb86f227-7cdd-fcea-cae7-2f1eaf405166?&start=2025-04-12&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/412420982,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
ZHOU YU 909,412421139,9861110,CHN,BZUL7,278,43.5,2018,,pole_and_line,"ZHOUSHAN, ZHEJIANG","CHINA, PEOPLE'S REPUBLIC OF",CNFC ZHOUSHAN OVERSEAS,CNFC ZHOUSHAN OVERSEAS,"CHINA, PEOPLE'S REPUBLIC OF",CNFC ZHOUSHAN OVERSEAS,CNFC ZHOUSHAN OVERSEAS, ,Sister Ship,,,Multiple,ZHOU YU 929 refused to allow an at sea inspection by a US Coast Guard vessel in the SPRFMO convetion area close to the Galapagos islands in 2022. A motion was made to add this vessel and another China flagged vessel to the SPRFMO IUU list but this was blocked by China. Multiple vessels in fleet have a history of AIS spoofing and transmission gaps. Reports of forced labor on the ZHOU YU 901 and 905. ,"[ZHOU YU 906, ZHOU YU 972, ZHOU YU 921, ZHOU YU 905, ZHOU YU 908, ZHOU YU 903, MING TAI, ZHOU YU 909, ZHOU YU 922, ZHOU YU 929, ZHOU YU 8, FENG HUI 9, ZHOU YU 902, ZHOU YU 901, MING HUA, ZHOU YU 916, MING WANG, ZHOU YU 970]","https://www.seafoodsource.com/news/premium/environment-sustainability/china-blocks-sprfmo-from-placing-two-of-its-vessels-on-iuu-blacklist 
https://www.undercurrentnews.com/2024/07/05/nearly-70-chinese-vessels-have-entered-peruvian-waters-in-2024/#comments
https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
https://b2p.theoutlawocean.com/vessels/zhou-yu-921
",FALSE,2025-04-19T01:17:00Z,44.92,CHN,ZHOUSHAN,TRUE,TRUE,TRUE,TRUE,0,36,63,https://globalfishingwatch.org/map/vessel/2868d475c-cecb-3573-ad78-c9e9046a70d2?&start=2025-04-17&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/412421139,7,32,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
ZHOU YU 931,412672150,9983970,CHN,BKWM,349,44.8,2023,,fishing,"ZHOUSHAN, ZHEJIANG","CHINA, PEOPLE'S REPUBLIC OF",CNFC ZHOUSHAN OVERSEAS,CNFC ZHOUSHAN OVERSEAS,"CHINA, PEOPLE'S REPUBLIC OF",CNFC ZHOUSHAN OVERSEAS,CNFC ZHOUSHAN OVERSEAS, ,Sister Ship,,,Multiple,ZHOU YU 929 refused to allow an at sea inspection by a US Coast Guard vessel in the SPRFMO convetion area close to the Galapagos islands in 2022. A motion was made to add this vessel and another China flagged vessel to the SPRFMO IUU list but this was blocked by China. Multiple vessels in fleet have a history of AIS spoofing and transmission gaps. Reports of forced labor on the ZHOU YU 901 and 905. ,"[ZHOU YU 906, ZHOU YU 972, ZHOU YU 921, ZHOU YU 905, ZHOU YU 908, ZHOU YU 903, MING TAI, ZHOU YU 909, ZHOU YU 922, ZHOU YU 929, ZHOU YU 8, FENG HUI 9, ZHOU YU 902, ZHOU YU 901, MING HUA, ZHOU YU 916, MING WANG, ZHOU YU 970]","https://www.seafoodsource.com/news/premium/environment-sustainability/china-blocks-sprfmo-from-placing-two-of-its-vessels-on-iuu-blacklist 
https://www.undercurrentnews.com/2024/07/05/nearly-70-chinese-vessels-have-entered-peruvian-waters-in-2024/#comments
https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
https://b2p.theoutlawocean.com/vessels/zhou-yu-921
",FALSE,2025-04-19T01:11:00Z,44.92,CHN,ZHOUSHAN,TRUE,TRUE,TRUE,TRUE,0,46,42,https://globalfishingwatch.org/map/vessel/556f929d4-4440-6dcf-37b9-318d4ce05242?&start=2025-04-17&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/412672150,6,37,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
ZHOU YU 932,412672140,9983982,CHN,BKWM2,349,44.8,2023,,fishing,"ZHOUSHAN, ZHEJIANG","CHINA, PEOPLE'S REPUBLIC OF",CNFC ZHOUSHAN OVERSEAS,CNFC ZHOUSHAN OVERSEAS,"CHINA, PEOPLE'S REPUBLIC OF",CNFC ZHOUSHAN OVERSEAS,CNFC ZHOUSHAN OVERSEAS, ,Sister Ship,,,Multiple,ZHOU YU 929 refused to allow an at sea inspection by a US Coast Guard vessel in the SPRFMO convetion area close to the Galapagos islands in 2022. A motion was made to add this vessel and another China flagged vessel to the SPRFMO IUU list but this was blocked by China. Multiple vessels in fleet have a history of AIS spoofing and transmission gaps. Reports of forced labor on the ZHOU YU 901 and 905. ,"[ZHOU YU 906, ZHOU YU 972, ZHOU YU 921, ZHOU YU 905, ZHOU YU 908, ZHOU YU 903, MING TAI, ZHOU YU 909, ZHOU YU 922, ZHOU YU 929, ZHOU YU 8, FENG HUI 9, ZHOU YU 902, ZHOU YU 901, MING HUA, ZHOU YU 916, MING WANG, ZHOU YU 970]","https://www.seafoodsource.com/news/premium/environment-sustainability/china-blocks-sprfmo-from-placing-two-of-its-vessels-on-iuu-blacklist 
https://www.undercurrentnews.com/2024/07/05/nearly-70-chinese-vessels-have-entered-peruvian-waters-in-2024/#comments
https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
https://b2p.theoutlawocean.com/vessels/zhou-yu-921
",FALSE,2025-04-14T01:15:00Z,49.92,CHN,ZHOUSHAN,TRUE,TRUE,TRUE,TRUE,0,29,40,https://globalfishingwatch.org/map/vessel/243db9adc-cd05-6ec7-ba95-dbeb513ef919?&start=2025-04-12&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/412672140,4,40,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
ZHOU YU 935,412549597,1046398,CHN,BZVF5,349,44.8,2024,,fishing,"WEIHAI, SHANDONG","CHINA, PEOPLE'S REPUBLIC OF",CNFC ZHOUSHAN OVERSEAS,CNFC ZHOUSHAN OVERSEAS,"CHINA, PEOPLE'S REPUBLIC OF",CNFC ZHOUSHAN OVERSEAS,CNFC ZHOUSHAN OVERSEAS, ,Sister Ship,,,Multiple,ZHOU YU 929 refused to allow an at sea inspection by a US Coast Guard vessel in the SPRFMO convetion area close to the Galapagos islands in 2022. A motion was made to add this vessel and another China flagged vessel to the SPRFMO IUU list but this was blocked by China. Multiple vessels in fleet have a history of AIS spoofing and transmission gaps. Reports of forced labor on the ZHOU YU 901 and 905. ,"[ZHOU YU 906, ZHOU YU 972, ZHOU YU 921, ZHOU YU 905, ZHOU YU 908, ZHOU YU 903, MING TAI, ZHOU YU 909, ZHOU YU 922, ZHOU YU 929, ZHOU YU 8, FENG HUI 9, ZHOU YU 902, ZHOU YU 901, ZHOU YU 680, MING HUA, ZHOU YU 916, MING WANG, ZHOU YU 970]","https://www.seafoodsource.com/news/premium/environment-sustainability/china-blocks-sprfmo-from-placing-two-of-its-vessels-on-iuu-blacklist 
https://www.undercurrentnews.com/2024/07/05/nearly-70-chinese-vessels-have-entered-peruvian-waters-in-2024/#comments
https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
https://b2p.theoutlawocean.com/vessels/zhou-yu-921
",FALSE,2025-04-14T01:09:00Z,49.92,CHN,ZHOUSHAN,TRUE,TRUE,TRUE,TRUE,0,34,45,https://globalfishingwatch.org/map/vessel/47223ae45-5a3a-a9e2-6b02-5a9e5027202e?&start=2025-04-12&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/412549597,7,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,FALSE
ZHOU YU 936,412549598,1046477,CHN,BZVF6,349,44.8,2024,,fishing,"WEIHAI, SHANDONG","CHINA, PEOPLE'S REPUBLIC OF",CNFC ZHOUSHAN OVERSEAS,CNFC ZHOUSHAN OVERSEAS,"CHINA, PEOPLE'S REPUBLIC OF",CNFC ZHOUSHAN OVERSEAS,CNFC ZHOUSHAN OVERSEAS,CNFC ZHOUSHAN OVERSEAS,Sister Ship,,,Multiple,ZHOU YU 929 refused to allow an at sea inspection by a US Coast Guard vessel in the SPRFMO convetion area close to the Galapagos islands in 2022. A motion was made to add this vessel and another China flagged vessel to the SPRFMO IUU list but this was blocked by China. Multiple vessels in fleet have a history of AIS spoofing and transmission gaps. Reports of forced labor on the ZHOU YU 901 and 905. ,"[ZHOU YU 906, ZHOU YU 972, ZHOU YU 921, ZHOU YU 905, ZHOU YU 908, ZHOU YU 903, MING TAI, ZHOU YU 909, ZHOU YU 922, ZHOU YU 929, ZHOU YU 8, FENG HUI 9, ZHOU YU 902, ZHOU YU 901, MING HUA, ZHOU YU 916, MING WANG, ZHOU YU 970]","https://www.seafoodsource.com/news/premium/environment-sustainability/china-blocks-sprfmo-from-placing-two-of-its-vessels-on-iuu-blacklist 
https://www.undercurrentnews.com/2024/07/05/nearly-70-chinese-vessels-have-entered-peruvian-waters-in-2024/#comments
https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
https://b2p.theoutlawocean.com/vessels/zhou-yu-921
",FALSE,2025-04-15T01:06:00Z,48.92,CHN,ZHOUSHAN,TRUE,TRUE,TRUE,TRUE,0,46,40,https://globalfishingwatch.org/map/vessel/3fea25309-991e-f480-8765-bd49fbdd1382?&start=2025-04-13&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/412549598,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
ZHOU YU 937,412549599,1046520,CHN,BZVF7,349,44.8,2024,,fishing,"ZHOUSHAN, ZHEJIANG","CHINA, PEOPLE'S REPUBLIC OF",CNFC ZHOUSHAN OVERSEAS,CNFC ZHOUSHAN OVERSEAS,"CHINA, PEOPLE'S REPUBLIC OF",CNFC ZHOUSHAN OVERSEAS,CNFC ZHOUSHAN OVERSEAS, ,Sister Ship,,,Multiple,ZHOU YU 929 refused to allow an at sea inspection by a US Coast Guard vessel in the SPRFMO convetion area close to the Galapagos islands in 2022. A motion was made to add this vessel and another China flagged vessel to the SPRFMO IUU list but this was blocked by China. Multiple vessels in fleet have a history of AIS spoofing and transmission gaps. Reports of forced labor on the ZHOU YU 901 and 905. ,"[ZHOU YU 906, ZHOU YU 972, ZHOU YU 679, ZHOU YU 921, ZHOU YU 905, ZHOU YU 908, ZHOU YU 903, MING TAI, ZHOU YU 909, ZHOU YU 922, ZHOU YU 929, ZHOU YU 8, FENG HUI 9, ZHOU YU 902, ZHOU YU 901, MING HUA, ZHOU YU 916, MING WANG, ZHOU YU 970]","https://www.seafoodsource.com/news/premium/environment-sustainability/china-blocks-sprfmo-from-placing-two-of-its-vessels-on-iuu-blacklist 
https://www.undercurrentnews.com/2024/07/05/nearly-70-chinese-vessels-have-entered-peruvian-waters-in-2024/#comments
https://www.greenpeace.org/static/planet4-southeastasia-stateless/2021/05/ef65bfe1-greenpeace-2021-forced-labour-at-sea-digital_final.pdf
https://b2p.theoutlawocean.com/vessels/zhou-yu-921
",FALSE,2025-04-14T01:03:00Z,49.92,CHN,ZHOUSHAN,TRUE,TRUE,TRUE,TRUE,0,34,57,https://globalfishingwatch.org/map/vessel/aab370ce6-656c-8836-d642-6e65a2503a2b?&start=2025-04-12&end=2025-06-02,https://sc-production.skylight.earth/vesseldetails/412549599,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
